feature-id	tissue_mean	tissue_std	tissue_rank
Subd-49ccd7a	-0.5557403907348354	0.3611450536826808	48.0
Lach-3534b4b	-0.5453935865594933	0.3702530382750963	49.0
Bact-d4d386b	-0.5403241977841605	0.48640851308795396	50.0
Bact-208134d	-0.5341675834987348	0.7510659892388388	51.0
Lach-3a2e845	-0.5332780626366065	0.4416031985257574	52.0
Rose-a76bceb	-0.5321213804076028	0.3418204310622276	53.0
Meth-26639d9	-0.5298112011112398	0.8119085615638526	54.0
Lach-05d757d	-0.5246022923107424	0.42408020514970607	55.0
Lach-026a720	-0.5127629776461786	0.38393770423892903	56.0
Stre-a4cd615	-0.5109635191564497	0.5316246478498317	57.0
Blau-af2150f	-0.5080819209622393	0.31574715839348605	58.0
Blau-105344b	-0.49639634316548	0.4848869021057754	59.0
Rumi-7514abf	-0.49092608625952894	0.5097584557676186	60.0
Anae-1e00db7	-0.48211003833003674	0.5661772066477632	61.0
Chri-f7035cb	-0.47292246219429457	0.5449890260872429	62.0
Lach-701a3b7	-0.46662715305054736	0.3141268848732189	63.0
Bilo-8954856	-0.4589032615404808	0.8645803559312968	64.0
Bact-5859c64	-0.45248383443338963	0.6426889322493968	65.0
Leif-1ce7543	-0.4347622706438007	0.7151404976217705	66.0
Chri-ff17b46	-0.41479767401590695	0.6304549338263181	67.0
Romb-df3d611	-0.41058809900251597	0.5966602824740856	68.0
Rumi-3fd0c1a	-0.40615515010265374	0.4405664634068191	69.0
Lach-44a2dbc	-0.40395262025559714	0.6784936859337849	70.0
Inte-9eaff8c	-0.39751297045201067	0.6408504040519678	71.0
Rumi-9cdb9db	-0.37282379703977986	0.3428752624160201	72.0
Para-4d6fe68	-0.3670395109012858	0.3363533406046385	73.0
Buty-10fae19	-0.3620384346115552	0.8540601669105454	74.0
Haem-18eb929	-0.355864926621036	0.4808660579795445	75.0
Bact-e0e562a	-0.35059425705877345	0.8291349813242486	76.0
Rumi-6593120	-0.34532554732526516	0.7349712466504689	77.0
Rumi-a29990f	-0.3313126170762345	0.7069654404594676	78.0
Bact-15ceb00	-0.33120168942150136	0.6829747813959982	79.0
Esch-e2f6a53	-0.3225511906337649	0.9722178863397559	80.0
Lach-7079408	-0.3187548557652525	0.45245527325853263	81.0
Faec-80c3a5f	-0.3126362661467567	0.5905882168342925	82.0
Rose-d3864fc	-0.30579937192385676	0.4906236271069627	83.0
Sene-781430c	-0.3054090756788114	0.6016097078820258	84.0
Para-218f40f	-0.2938928647464209	0.5782230140061015	85.0
Subd-c6fdf63	-0.29168434584551733	0.327735556463509	86.0
Copr-804d6df	-0.29053172296026936	0.7002461581186807	87.0
Rumi-c1eedbc	-0.290172251299792	0.8192098845160508	88.0
Rumi-85e5f41	-0.28745898888288174	0.391514230015562	89.0
Alis-44cae38	-0.2839069703291182	0.5897997350845356	90.0
Rumi-030e364	-0.2834151330845847	0.6692113973045788	91.0
Lach-a00b4fd	-0.27270353459672503	0.3300272002600174	92.0
Rumi-8dc9986	-0.2723126998636706	0.6188165510381782	93.0
Sutt-f684347	-0.27128153958165147	0.5376552752186543	94.0
Dore-18ef456	-0.2708915509710997	0.5285636513126202	95.0
Rumi-f7a2b0a	-0.26693102383195555	0.8173804076549251	96.0
Bact-ce0837f	-0.26551800145671156	0.4161105708813944	97.0
Stre-409f711	-0.2627749818180886	0.3284221790887587	98.0
Lach-52ba52e	-0.2601638988650265	0.36801795131799425	99.0
Alis-af3909e	-0.25819223204592645	0.5249487633985255	100.0
Tyzz-e322286	-0.25772923089010985	0.6040058588603752	101.0
Rumi-9cda306	-0.256485079015487	0.4104953998686055	102.0
Erys-16684ad	-0.25633071746345315	0.44651490924475	103.0
Rumi-e9398bc	-0.24674170522411148	0.41967560486858413	104.0
Fili-998cdb4	-0.24488776221484726	0.7939222257080236	105.0
Lach-7a4b03d	-0.24316078675397912	0.705291463191659	106.0
Barn-f674778	-0.24221444424787392	0.5771958047046511	107.0
Alis-d08356d	-0.23993307253139323	0.5597476809977574	108.0
Stre-6e7317c	-0.23746933550352753	0.42067395296957666	109.0
Lach-202938f	-0.2348104284922466	0.3400912932881118	110.0
Rumi-d6fb5a6	-0.23444090735003936	0.8188737906730058	111.0
Rumi-c6fb203	-0.23404128394632118	0.7610902811961237	112.0
