feature-id	tissue_mean	tissue_std	tissue_rank	survival_mean	survival_std	survival_rank	inter_mean	inter_std	inter_rank
Rumi-75a7dd0	-0.7634451390567875	0.5611237321854441	40.0	3.0620706163511366	4.68084734882414	286.0	-0.21608565686716757	1.3418192724388844	122.0
Mass-bfb5b51	1.340460154727072	0.7075946668680094	323.0	-6.098327520481016	1.9952031895198228	6.0	-0.21254191678497278	1.179604681072684	123.0
Faec-734dcd0	0.21891498059523898	0.6261371451931171	222.0	-3.0935105543495958	6.577522952353929	46.0	-0.2075893248055218	1.0651086701659473	124.0
Rumi-d1cf1d1	0.3114815900023691	0.5645534048783405	236.0	0.5436035135166322	1.7486837659825907	194.0	-0.1908832191569615	0.7197162947222143	125.0
Haem-18eb929	-0.7030692737890945	0.7697730611380107	43.0	3.071005302144221	2.2305174776248085	287.0	-0.18862762533586686	1.118665571128711	126.0
Rumi-be20a0e	-0.11363666663225894	0.9029740681504502	135.0	-0.7437153896927919	4.837591152389952	132.0	-0.17234244472818439	1.444540776799729	127.0
Faec-bbae6ed	0.27395830506787106	0.4109061794560824	231.0	1.869236066969338	1.343841891676313	252.0	-0.15446389069920768	0.5249954760571943	128.0
Lach-19ff2a8	0.18971300746481615	0.5895391926124688	211.0	-2.5667048299654143	2.903439813460469	56.0	-0.1466276727300513	0.8852729280328971	129.0
Para-1c1c2dd	0.7837720064717005	0.9215135984273449	299.0	1.3852884863984283	3.551722550816312	225.0	-0.1418298509629589	1.1340447290757711	130.0
Rumi-d331c54	0.15385504519887588	0.9498041954250717	199.0	-5.339220969833695	3.185753388993809	12.0	-0.13520249337964457	1.3402883956795486	131.0
Blau-af2150f	-0.2749026368600758	0.32515655701708773	98.0	1.6489976581728425	3.9962526670741223	238.0	-0.12520993153866045	0.5940046812002739	132.0
Bact-e0e562a	0.09534366582633685	1.386523300318232	186.0	-2.318545883966439	3.0291523257006583	69.0	-0.12470825700116732	1.462505380727327	133.0
